,TEAM_ID,ABBREVIATION,NICKNAME
0,1610612737,ATL,Hawks
1,1610612738,BOS,Celtics
2,1610612740,NOP,Pelicans
3,1610612741,CHI,Bulls
4,1610612742,DAL,Mavericks
5,1610612743,DEN,Nuggets
6,1610612745,HOU,Rockets
7,1610612746,LAC,Clippers
8,1610612747,LAL,Lakers
9,1610612748,MIA,Heat
10,1610612749,MIL,Bucks
11,1610612750,MIN,Timberwolves
12,1610612751,BKN,Nets
13,1610612752,NYK,Knicks
14,1610612753,ORL,Magic
15,1610612754,IND,Pacers
16,1610612755,PHI,76ers
17,1610612756,PHX,Suns
18,1610612757,POR,Trail Blazers
19,1610612758,SAC,Kings
20,1610612759,SAS,Spurs
21,1610612760,OKC,Thunder
22,1610612761,TOR,Raptors
23,1610612762,UTA,Jazz
24,1610612763,MEM,Grizzlies
25,1610612764,WAS,Wizards
26,1610612765,DET,Pistons
27,1610612766,CHA,Hornets
28,1610612739,CLE,Cavaliers
29,1610612744,GSW,Warriors
